WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Units,Scale,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
171,AND,PCPIPCH,Andorra,"Inflation, average consumer prices",Percent change,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.127,3.056,2.906,3.527,3.682,2.659,4.347,-1.217,1.706,2.552,1.467,0.475,-0.096,-1.132,-0.422,2.586,0.996,0.53,0.092,1.677,6.203,5.607,3.074,2024
171,AND,PCPIE,Andorra,"Inflation, end of period consumer prices",Index,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,73.73,75.99,78.09,80.68,83.32,85.83,89.33,90.12,91.02,92.57,94.57,95.57,95.74,94.91,94.41,95.3,97.56,98.05,98.98,98.44,101.67,108.94,113.91,116.88,2024
171,AND,PCPIEPCH,Andorra,"Inflation, end of period consumer prices",Percent change,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.065,2.764,3.317,3.272,3.012,4.078,0.884,0.999,1.703,2.161,1.057,0.178,-0.867,-0.527,0.943,2.371,0.502,0.948,-0.546,3.281,7.151,4.562,2.607,2024
614,AGO,PCPI,Angola,"Inflation, average consumer prices",Index,Units,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.001,0.027,0.088,0.183,0.637,2.707,6.838,14.284,28.313,40.637,49.968,56.616,63.551,71.472,81.278,93.047,105.594,116.454,126.681,135.927,148.377,193.92,251.795,301.218,352.664,431.227,542.334,658.179,747.946,959.105,2024
614,AGO,PCPIPCH,Angola,"Inflation, average consumer prices",Percent change,Units,46.708,1.391,1.833,1.833,1.833,1.833,1.833,1.833,1.833,1.833,1.833,85.265,299.097,"1,379.48",949.771,"2,672.23","4,146.01",221.492,107.429,248.248,325.029,152.586,108.893,98.219,43.525,22.961,13.305,12.249,12.465,13.721,14.48,13.484,10.285,8.782,7.298,9.159,30.694,29.844,19.629,17.079,22.277,25.765,21.36,13.639,28.232,2024
614,AGO,PCPIE,Angola,"Inflation, end of period consumer prices",Index,Units,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.003,0.048,0.119,0.278,1.195,4.401,9.508,19.548,34.514,45.217,53.596,60.139,67.221,76.074,86.714,100,111.376,121.447,130.782,140.588,157.587,222.395,275.028,326.194,381.299,477.015,606.027,689.949,827.919,"1,055.66",2024
614,AGO,PCPIEPCH,Angola,"Inflation, end of period consumer prices",Percent change,Units,n/a,1.833,1.833,1.833,1.833,1.833,1.833,1.833,1.833,1.833,1.833,175.72,495.793,"1,837.87",971.954,"3,783.92","1,650.83",149.621,134.809,329.001,268.35,116.068,105.59,76.56,31.013,18.53,12.207,11.776,13.17,13.987,15.322,11.376,9.042,7.687,7.498,12.091,41.125,23.667,18.604,16.893,25.103,27.046,13.848,19.997,27.508,2024
311,ATG,PCPI,Antigua and Barbuda,"Inflation, average consumer prices",Index,Units,35.001,39.014,40.64,41.594,43.193,43.623,43.841,45.42,48.509,50.625,53.961,56.4,58.091,59.892,63.777,65.522,67.465,67.709,69.918,70.711,70.597,71.963,73.696,75.165,76.691,78.3,79.7,80.829,85.14,84.672,87.525,90.551,93.608,94.6,95.631,96.557,96.085,98.422,99.614,101.04,102.109,103.77,111.585,117.239,124.696,2023
311,ATG,PCPIPCH,Antigua and Barbuda,"Inflation, average consumer prices",Percent change,Units,18.999,11.465,4.17,2.346,3.844,0.996,0.5,3.602,6.8,4.362,6.591,4.518,3,3.1,6.485,2.737,2.965,0.362,3.262,1.135,-0.162,1.935,2.408,1.994,2.03,2.099,1.788,1.416,5.334,-0.55,3.37,3.457,3.377,1.059,1.089,0.969,-0.489,2.432,1.211,1.431,1.058,1.627,7.531,5.067,6.36,2023
311,ATG,PCPIE,Antigua and Barbuda,"Inflation, end of period consumer prices",Index,Units,42.273,45.299,46.485,47.932,49.475,49.119,50.085,53.001,55.925,58.654,63.265,65.293,67.162,66.796,66.878,66.032,68.136,67.371,70.51,71.284,71.592,72.261,74.104,75.445,77.524,79.495,79.502,83.661,84.27,86.292,88.816,92.408,94.107,95.103,96.365,97.233,96.143,98.408,100.12,100.81,103.61,104.87,114.57,118.33,125.43,2023
